S.no,Manufacturer,Distributor ,Location,Point Of Contact,Contact,Documents Needed,Payment Mode,Delivery ,Catalogue,App Willingness,Comments,Orders Day- Greater Kailash Area,Delivery Day- Greater Kailash Area,Email Id for P.O,Personal Visit,Bank Details 
7,Proctor & Gamble,Amazon Distributor Pvt Ltd,Okhla ,Naman Dixit,8887596423,"GST, Traders License","Cash, RTGS",Once in a week,Asked- Pending,,,"Wed, Fri","Thurs, Sat",shuklaashish912@gmail.com,,Account Name- Amazon Distributor Pvt Ltd           Account Number- 0341558018                                IFSC Code- CITI0000001
,,,,,,,,,,,,,,,,
8,ITC,Aushta Enterprises,"Neb Sarai, Sainik Farms ( Near University)",Vidur,7982916548,"GST, PAN, Traders License","Cash, RTGS",Once in a week,Recd,No ( Orders through mail),"No digital catalogue available, Prices will be mentioned after selection of the products , Need to send company profile",Thurs,Sat,shivapathak.01@gmail.com,,Account Name- Aushta Enterprises                       Account Number- 150102000000362                               IFSC Code- IOBA0001501
,,,,Manish,9810119905,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,Pepsi,AG Traders,"Sultanpur, Delhi",Anuj,8881925111,"GST, Delivery Address","Cash, RTGS",Everyday,No ( Orders through mail),,,Everyday,Next Day,"manish.kr.singh@gmail.com, sachitanand.mishra@rjcorp.in",,Account Name- AG Traders                    Account Number- 608420110000068                               IFSC Code- BKID0006084
,,,,Meenu,7827614178,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10,Coca-Cola Pvt Ltd,,,Kulwant Singh,9210971710,Not Applicable ,Cash,Everyday,Recd,,No digital catalogue available ,Everyday,Next Day,,,
,,,,Chandan ( Company Sales),9873118515,GST,"Cash, RTGS",Everyday,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11,Britannia Industries,JP Sons,Kotla Mubarakpur,Ankit Khandelwal,9811566454,GST,"Cash, RTGS",,Recd,,,Thurs,Fri,jpandsons48@gmail.com,,
,,,,Varun,9910696515,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12,Mondelez india Foods Pvt Ltd,R&T,"Near Mother Dairy, Kotla Mubarakpur",Ravi Kant,9891645411,GST,"Cash, RTGS",,Recd,,,Fri,Sat,ravi.choudhary@mdlz.com,,
,,,,,,,,,,,,,,,,
13,Dabur,Aushta Enterprises,"Neb Sarai, Sainik Farms ( Near University)",Manish,9810119905,"GST, PAN, Traders License","Cash, RTGS",Once in a week,Recd,,"No digital catalogue available, Prices will be mentioned after selection of the products ",Thurs,Sat,shivapathak.01@gmail.com,,Account Name- Aushta Enterprises                       Account Number- 150102000000362                               IFSC Code- IOBA0001501
,,,,Vidur,7982916548,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14,Daawat,Aushta Enterprises,"Neb Sarai, Sainik Farms ( Near University)",Manish,9810119905,"GST, PAN, Traders License","Cash, RTGS",Once in a week,Recd,,"No digital catalogue available, Prices will be mentioned after selection of the products ",Thurs,Sat,shivapathak.01@gmail.com,,Account Name- Aushta Enterprises                       Account Number- 150102000000362                               IFSC Code- IOBA0001501
,,,,,,,,,,,,,,,,
15,MDH,S. S Marketing,Lajpat Nagar,Shailendra ,9810078288,,,,,,,Wed,Thurs,shelendra@gmail.com,,Account Name- S S Marketing                      Account Number- 14098970000039                             IFSC Code- HDFC0001409
,,,,Mukesh Gaur,9210571575,,,,,,,,,,,
,,,,Sanjay Ahuja,9818146222,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16,Rapid Flour Mills,Rapid,Shop no. 37 Rajendra Nagar,Deep Chand,9560598217,,,,,,,,,,,
,,,,,9810063711,,,,,,,,,,,
,,,,Kundan Dua,9999814374,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17,MK Traders Mill,,Arjun Nagar,Manoj ji,9810265309,,,,,,,,,,,
,,,,,,,,,,,,,,,,
18,Nivea,Amazon,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
19,Tata chemicals Ltd,Amazon,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
20,Adani Wilmar LTD.,Amazon,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
21,Simbhaoli Sugars Limited,Amazon,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
21,Procter & Gamble,Amazon Distributor Pvt Ltd,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
18,NIvea,Amazon,,,,,,,,,,,,,,
